date, pm25, pm10, o3, no2, so2, co
2023/3/7, 57, 19, 25, 13, , 
2023/3/8, 44, 15, 32, 17, , 
2023/3/9, 40, 13, 32, 8, , 
2023/3/10, 24, 4, 31, 6, , 
2023/3/11, 9, 6, 17, 21, , 
2023/3/12, 57, 25, 19, 14, , 
2023/3/13, 43, 13, 29, 8, , 
2023/3/14, 19, 4, 30, 10, , 
2023/3/15, 13, 7, , 20, , 
2023/3/16, 45, 18, 19, 20, , 
2023/3/17, 41, 14, 35, 22, , 
2023/3/18, 63, 34, 22, 21, , 
2023/3/19, 58, 22, 31, 16, , 
2023/3/20, 45, 18, 24, 17, , 
2023/3/21, 33, 11, 32, 17, , 
2023/3/22, 51, 28, 31, 11, , 
2023/3/23, 13, 8, 36, 11, , 
2023/3/24, 34, 15, 35, 6, , 
